Symbol,GICS Sector
A US Equity,Healthcare
AA US Equity,Materials
AAL US Equity,Industrials
AAP US Equity,Consumer Discretionary
AAPL US Equity,Information Technology
ABBV US Equity,Healthcare
ABC US Equity,Healthcare
ABMD US Equity,Healthcare
ABT US Equity,Healthcare
ACN US Equity,Information Technology
ADBE US Equity,Information Technology
ADI US Equity,Information Technology
ADM US Equity,Consumer Staples
ADP US Equity,Information Technology
ADS US Equity,Information Technology
ADSK US Equity,Information Technology
AEE US Equity,Utilities
AEP US Equity,Utilities
AFL US Equity,Financials
AGN US Equity,Healthcare
AIG US Equity,Financials
AIV US Equity,Real Estate
AIZ US Equity,Financials
AJG US Equity,Financials
ALB US Equity,Materials
ALGN US Equity,Healthcare
ALK US Equity,Industrials
ALL US Equity,Financials
ALLE US Equity,Industrials
ALXN US Equity,Healthcare
AMAT US Equity,Information Technology
AME US Equity,Industrials
AMG US Equity,Financials
AMGN US Equity,Healthcare
AMP US Equity,Financials
AMT US Equity,Real Estate
AMZN US Equity,Consumer Discretionary
ANET US Equity,Information Technology
ANF US Equity,Consumer Discretionary
ANSS US Equity,Information Technology
ANTM US Equity,Healthcare
AON US Equity,Financials
AOS US Equity,Industrials
APA US Equity,Energy
APC US Equity,Energy
APD US Equity,Materials
APH US Equity,Information Technology
APTV US Equity,Consumer Discretionary
ARE US Equity,Real Estate
ASH US Equity,Materials
ATVI US Equity,Communication Services
AVB US Equity,Real Estate
AVGO US Equity,Information Technology
AVY US Equity,Materials
AWK US Equity,Utilities
AXP US Equity,Financials
AYI US Equity,Industrials
AZO US Equity,Consumer Discretionary
BA US Equity,Industrials
BAC US Equity,Financials
BAX US Equity,Healthcare
BBBY US Equity,Consumer Discretionary
BBT US Equity,Financials
BBY US Equity,Consumer Discretionary
BC US Equity,Consumer Discretionary
BCO US Equity,Industrials
BDX US Equity,Healthcare
BEN US Equity,Financials
BF/B US Equity,Industrials
BGG US Equity,Industrials
BHGE US Equity,Energy
BIG US Equity,Consumer Staples
BIIB US Equity,Healthcare
BK US Equity,Financials
BKNG US Equity,Consumer Discretionary
